,utterance,prompt,bigscience/T0pp
0,I Need To Know Your Exchange Rates.,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Businesslikeness or competence is needed to negotiate
1,What Exchange Rates Do You Offer?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"rate, offer, utterance 2 words"
2,How Did You Come Up With Your Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Calculation of exchange rates. | Business World
3,Where Do You Guys Acquire Your Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,get an exchange rate from somewhere else and then go somewhere and buy with that rate
4,How Do I Find The Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask a question and get an answer about something you are curious about
5,What Are Your International Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,inquire about the exchange rates of currencies of various nations
6,How Often Do Your Exchange Rates Change,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,"rate, change, utteranceid"
7,Please Advise What Is The Exchange Rate,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,ask for an exchange rate for foreign currency on the market or over the counter
8,How Are Exchange Rates Calculated?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,explain the concept of exchange rate in simple terms
9,What Are Exchange Rates Based On,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Markets move inversely to fundamentals
10,What Are Exchange Rates,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Description of monetary system of any country or region
11,What Are The Most Current Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,World politics in the financial sector. This includes exchange rates.
12,Can You Explain Your Exchange Rate Policy To Me?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,explain me why your policy works the way it does
13,Is It A Good Time To Exchange?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Time (singular) adverb
14,What Is The Exchange Rate Like On This App?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,like or seem like someone who cares about money
15,Do You Have A List Of Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,List Of Exchange Rates?. What is the intent of this utterance?
16,Can You Tell Me Where You Get Your Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,inform the other party of your need for the information
17,Will I Get A Curreng Foreign Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,express curiosity about an exchange rate by asking if a person will get'x %. currency
18,What Currencies Is An Exchange Rate Calculated In?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,World Currencies Index. What currencies are included in the index
19,Where Do You Get Your Exchange Rates From?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Get the news from other countries.. or something
20,What Is The Base Of The Exchange Rates?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,Basis point (currency) in a pricing model
21,What Exchange Rate Do You Use?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use if applicable; apply a rate
22,The Exchange Rates Are?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,exchange rates to rise and fall over time and space
23,What Do You Base Your Exchange Rates On?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,What Do You Base Your Exchange Rates On?
24,What Foreign Exchange Rate Will You Use?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,use your judgement to pick the right foreign exchange rate
25,How Much Will I Get With The Exchange Rate?,Considering this utterance: {}. What is the intent that best describes it expressed as a phrase of one or two words,calculate your money conversion rates - wikihow
