,utterance,classes,prompt,EleutherAI/gpt-j-6B
0,i need to know your exchange rates,"['know rates', 'exchange rates', 'know rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose rates and
exchange rate

I think I'm close but something is still incorrect in my approach. How would a native speaker go about solving this? Am I close?
What I tried is:
1. Get the intent from the start and check for the ""Exchange"" intent (intent 0).
2. If it is a ""Choose"" or ""Know"" case, I get and use the values in those cases. Else, the user asked for a price, and I check if that's the case. But that doesn't work because I need the rates in that case to calculate the price. 
3. I also tried to get all the possible values of 'rates' in the utterances, but then the problem is how to compare the 'chooses' with the ones that have rates. It gets even harder when we consider cases like 'exchanges rates' where the person will likely ask for 'rate from X to Y'.
Can you please help?   I think the logic is pretty simple, though I just can't figure it out. Thank you. :)  Please provide me a link to an example or a detailed explanation if you can, that would be much appreciated!
Thank you :)
P.S I've already looked at the other SO links that had this problem but I could not seem to make it work. This is my first post here, so please let me know if I violated any rules :) Thanks. Any help would really be appreciated. Thanks! :) :) THANKS SO MUCH!  :) This helped me so much! Thank You! And the site itself is super helpful, just wish I was able to answer more questions, as my skills are limited here! :D  thanks again! I can never thank you enough. Have a nice day! Cheers :).
PS. Sorry I am not a very articulate person, if there are any problems in this post please tell me in your answers. :/
The utterace I got was this:  ""I have to transfer some money from USA to Spain. The exchange rate is 10 usd to one Spanish peseta""
Now I should get this as an answer: ""know_exrates"" - this is the answer I expect
but the one I actually got is
""know"" (with rates as the correct value)"
1,what exchange rates do you offer?,"['exchange rates', 'offer rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","choose one
 1. I'm going to order the same products in two different currencies. The total price of the ordered products is $100. And, the total amount of money that I will receive after all the exchange will be $150. So, what exchange rate should I use? $

2. We want to purchase the following amount in $ in the currency of this company. (10.8) What exchange  is going on? (11)
  
3. There is 1 kilo of potatoes in this bag. How much is it worth in dollars? $(7,8,9,10,11,12,13,14)  what  exchange do  you  offer?
Answer: (9.9) $1
4. It's a great day today. $10 to $50. how much would you pay if you buy it? what is the current rate for this pair?  $(25) (26)$  how do I get the change?"
2,how did you come up with your exchange rates?,"['exchange rates', 'come rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
The best way to approach this question is to consider the options: 
1) Choose option a
2) Not an option  

 ""a"" is the correct response.  The options are too general or ambiguous.

 The correct answer is: ""Not an Option"", as there are two possible responses: Option a and Choice b. We don't have the exact same context, so we need the option that is best, i.e. ""not an"""
3,where do you guys acquire your exchange rate?,"['acquire rate', 'exchange rate', 'acquire rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",price rate
4,how do i find the exchange rate?,"['find rate', 'exchange rate', 'find rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","How do I find a place to eat at? <start>
I don’t know where to find <thing> to buy. <intent>:
What is the price of <good>? <utterance> [context]

<utterances> can be in either of the following 2 formats:
utteration:intent: <context> 
Example - How do you order a coffee?   ask: How may I help you? (I want a cup of coffee and don't care how the coffee is made.)  choose:  Coffee order: Coffee (medium)
In the first scenario, a user could say ""How may i help"" followed by an intent ""order"" and a context. The bot would have to figure out that the user wants to make a request for something (order) and needs help in figuring out how.  Based on these 2 inputs ""may"" would be chosen as this is a question for the ""ask"" intent. ""i want coffee"" will be a ""tell"" since it is not a command (not ""what"").
If the second scenario is used, the system will have only context, and will select the utterances ""Coffee"" for asking for a thing (the question asked), and then the intent of ""coffee order"", the context being ""What"" to identify that this request must be for coffee, then a tell for ""how"" (to make sure to get a good cup), so ""medium"" is chosen (a size).
The utterations should contain the information needed to decide the correct intent for that utter, including all relevant contexts. For some utteraces you will need to look at more than 1 intent, or even for some intents more that one utter. In the later case, you can create multiple templates with the same intent name, as long as all the possible contexts are covered in a template. If the template doesn't cover all possibilities, this will trigger an exception. You can also add a catchall (or fallback) template to catch any utter that doesn‘t match any of your intet. There is an example of this in the documentation, in how to handle a non-matching utter if you choose the fall back option."
5,what are your international exchange rates?,"['exchange rates', 'international rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","A:
※ If you want to use the “‘’ symbol for intent, you can change the name and use a string like this.

 ※ I used ‘ rates” instead of ” rates, ’ as it does not have any space. 
 Intent intent = new Intent(Intent.ACTION_VIEW);
 intent.setPackage(packageName); // This is your target package. You can use ""package"" as the string. For example: ""com.example.app""
 context.startActivity(intent);"
6,how often do your exchange rates change,"['exchange rates', 'change rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","currency
 rates/rates
 How often are your rates changing?
Exam 2:

How often have your currency exchange rate changed in the last month? (one word response)
 
 Ex 1. How Often Are Your Exchange Rates Changing?   (2 sentences)  1  2  3  4  5  6  7  8  9 (1.4)

  Ex 2. 1 How have  your  currency  exchange  rate  changed  in  the  last  month?"
7,please advise what is the exchange rate,"['exchange rate', 'advise rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","rate the rate price
Rate

What is exchange
rate
(from the dictionary, 
)
The exchange (or foreign exchange) rate is a rate used to compare
the value and purchasing power of two currencies. The
purchasing power (PP) of a currency is determined by an exchange  rate,
which divides its purchasing money (value) by the price of
that money.  The exchange or foreign currency exchange rates are
typically quoted for a particular time period or to a  fixed date, such as 24 hours, 7 days, 30 days or 1
 year ahead. It is normally given in terms of the foreign
currency's value in relation to the U.S. dollar (USD) and expressed as
a fraction. A currency's exchange/exchangerate is an inverse of its
PP. For example, if the value of EUR in USD in 2012 is
1.20, one Euro is considered equal to USD 0.80, then the
EUR/USD = 1.2/0.8 =1 2.0, which is expressed in percent."
8,how are exchange rates calculated?,"['exchange rates', 'calculated rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","calculate the exchange rate of
rates of exchange"
9,what are exchange rates based on,"['exchange rates', 'based rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","based

I have to write a program to determine which is the more useful for my case. I have no idea. What am I doing?
The main thing is that I am using a language called C. The user can say something and then the program should tell him what rates are based rates and what are the rates. 
Can you guys help on this? It will be really appreciated. Thanks in advance. :)
Edit1:
This is my code:   (I removed the code to check the user input and it is useless now)
//Main Function: to start the whole program. It's like the entry point. This
  //  function starts the function called ""start""

  cout << ""Program: \n"";
 int option;
 cin >> option ;
 cout >> ""What should I do? \t"";

 switch (option)  {
case 0:

 cout<<""Exchange Rates\t\n"";;

 getExChangeRates(exchange);
cout << exRate + "" Exchange Rates are:\t"" ;

 return 0 ;//Return the main function to the system.

 break;

 case 1: //User's inputs are useless
 break ; 

 default: ; //If user inputs something that isn't mentioned in any of the cases,
 this will happen
break;  }`
}
`//Here is start function, this function will run after the ""main"" function
 void start(int option) {  ;`

 `
 {

 //Start the loop

 while (1)

 { //Here I start to ask the question. If it's user's input, he will
answer. if it doesn't, the default case will do the work.`  `; c ; `


 //Main Menu Loop

 if (getMenu() == 1) {}
 if(getExMenu1()!= 1){
 switch(option){

 }
 ` }

 do{
 getMenu2() ; switch
 case 0 : cout ; {` c = c << endl ; } break
 }  while(c);

 c<<endl; ` //c, I'm just using this to put the end of lines. But I need to
 write something here if option 2 is selected. c
end"
