,utterance,classes,prompt,bigscience/T0pp
0,i need to know your exchange rates,"['know rates', 'exchange rates', 'know rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates know rates.. i need to know
1,what exchange rates do you offer?,"['exchange rates', 'offer rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",offer rates exchange rates.. <unk>
2,how did you come up with your exchange rates?,"['exchange rates', 'come rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates come rates..?
3,where do you guys acquire your exchange rate?,"['acquire rate', 'exchange rate', 'acquire rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",where do you guys acquire your exchange rate?
4,how do i find the exchange rate?,"['find rate', 'exchange rate', 'find rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate.. get a quote
5,what are your international exchange rates?,"['exchange rates', 'international rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates rates international rates? :-)
6,how often do your exchange rates change,"['exchange rates', 'change rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates change rates.. changing constantly
7,please advise what is the exchange rate,"['exchange rate', 'advise rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",advise rate exchange rate..........<unk>
8,how are exchange rates calculated?,"['exchange rates', 'calculated rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",foreign currency exchange rates is a list of rates
9,what are exchange rates based on,"['exchange rates', 'based rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates are based on a number of factors such as global political and economic events.
10,what are exchange rates,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",definition of exchange rates by merriam-webster
11,what are the most current exchange rates?,"['exchange rates', 'current rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rates. Options: A currency B currency exchange C current value D current exchange rate
12,can you explain your exchange rate policy to me?,"['explain policy', 'rate policy', 'explain policy']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",explain policy rate policy. a person who makes monetary policy decisions
13,is it a good time to exchange?,"['good time', 'exchange time']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",good time exchange time. mughal structure of the old city
14,what is the exchange rate like on this app?,"['exchange rate', ' app']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",The options app exchange rate is very high.
15,do you have a list of exchange rates?,"['have list', 'exchange rates', 'have rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates have list have rates? i have a list of exchanges rates
16,can you tell me where you get your exchange rates?,"['get rates', 'exchange rates', 'get rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rates get rates?..
17,will i get a curreng foreign exchange rate?,"['get rate', 'exchange rate', 'foreign exchange', 'get rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get rate foreign exchange foreign currency exchange rate.
18,what currencies is an exchange rate calculated in?,"['exchange rate', 'calculated rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate calculated in dollars. xe.com
19,where do you get your exchange rates from?,"['get rates', 'exchange rates', 'get rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get rates. wikipedia.org - bing.com saxony cnn.
20,what is the base of the exchange rates?,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",base rate. The base or benchmark rate is the rate applied by the bank to a given currency.
21,what exchange rate do you use?,"['exchange rate', 'use rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use rate exchange rate??????????
22,the exchange rates are?,"['exchange rates', ' rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",currency exchange rates. currency rates in united arab emirates
23,what do you base your exchange rates on?,"['base rates', 'exchange rates', 'base rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",base rates. options based on base exchange rate :
24,what foreign exchange rate will you use?,"['exchange rate', 'foreign exchange', 'use rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",use rate exchange rate foreign exchange????
25,how much will i get with the exchange rate?,"['exchange rate', 'get rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate get rate? :)
26,the exchange rate would be?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rate oanda exchange ltd
27,what is the exchange rate like?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rate - Wikipedia.com. <unk>
28,how do your exchange rates work?,"['exchange rates', 'work rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",rates work. permalink... <unk>
29,what is the exchange rate?,"['exchange rate', ' rate']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",exchange rate rate. html] <unk>
30,where did your guys exchange rates come from?,"['exchange rates', 'come rates']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",from an economic report indicating that the US economy is growing
